Nama_Ibu,Alamat,Kecamatan,Desa,Nomer_NIK,TB_Ibu,BB_Ibu,IMT,Usia_ibu,Pendidikan_Ibu,Pekerjaan_ibu,Pendidikan_AYAH,Pekerjaan_Ayah,Jumlah_PendapatanKeluarga,NominalGaji,Status_Pernikahan,UsiaPertamaMenikahIbu,Kepemilikan_KK,JumlahAnak,Nama_BADUTA,UsiaBaduta,JenisKelamin,PersalinanOleh,BB_Lahir,PanjangLahir,Riwayat_Imunisasi,RiwayatDiare_2mgguTerakhir,RiwayatISPA_2mgguTerakhir,Punya_AkteLahir,BB_Baduta,PB_Baduta,StatusGizi_Baduta,Baduta_Dapat_ASI_Ekslusif,Baduta_DapatMPASI,Baduta_DapatPMT,PMT_DihabiskanAtauTidak,AlasanMendapat_PMT,BadutaDitimbang_Minimal8x,Baduta_DapatZinc_saatDiare,PernahCacingan,PernahMinum_ObatCacing,Bumil_DapatFolat_Fe,Ibu_DapatKonseling_PromosiASI,Ibu_DapatKonseling_PromosiMPASI,Punya_Sal_AirBersih,Punya_Jamban,GunainJamban_BAB,Ada_SepticTank,IBU_CuciTanganSabun_SBLMMakan,IBU_CuciTanganSabun_SetelahBAB,Anak_CuciTanganSabun_SebelumMakan,Anak_CuciTanganSabun_SetelahBAB,Anak_GunakanAlasKakiSaatMAin,Ibu_DapatBantuanBeras,Kel_KonsumsiSayuran,Kel_KonsumsiBuahBuahan,AdaYAnKes_diRumahTinggal,CaraPergi_KePuskesmas,JarakRumahKeYANKES,IBU_PakaiKB,JenisKB,Kepemilikan_BPJS,KewajibanMendidikAnak,YangJagaAnak_SetiapHari,PAUD_SekitarRumah,IbuMenyekolahkanAnak_KePAUD,Ibu_DapatInformasi_Gizi,Status_Stunting
Silvie Moreton,18 Lillian Avenue,Texas,United States,3.60E+15,146,52,2,27,1,1,1,1,1,1200000,1,18,1,3,Silvie Moreton,15,1,1,3300,48,1,2,2,2,8.5,74,3,1,1,1,2,Program,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,500 meter,1,Suntik 3 ,1,1,1,1,2,1,Stunting
Clifford Balaam,06 Loeprich Junction,Colorado,United States,3.60E+15,148,57,2,30,3,1,1,0,1,1500000,1,19,1,2,Clifford Balaam,18,2,1,3000,#NULL!,1,1,1,1,7,73,2,1,1,1,2,Karena kurang BB,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,1,1,300 meter,1,Suntik 3 ,1,1,1,1,2,1,Stunting
Mike Handlin,64 Bay Pass,Texas,United States,3.60E+15,148,52,2,36,1,1,1,1,1,1000000,1,16,1,7,Mike Handlin,19,1,2,#NULL!,#NULL!,2,1,2,2,9,75.5,3,1,1,1,1,Stunting,1,1,2,2,1,2,2,1,2,2,2,1,1,2,1,2,2,2,2,1,1,50 meter,2,,1,1,1,1,2,2,Stunting
Giacomo Coales,64875 Arrowood Plaza,Texas,United States,3.60E+15,158,40,1,22,3,1,1,1,1,1600000,1,20,1,1,Giacomo Coales,19,2,1,3000,48,2,2,1,2,9,75,3,2,1,1,1,Program,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,500 meter,1,Suntik 3 ,2,1,1,1,1,1,Stunting
Budd Muller,3314 Pleasure Pass,District of Columbia,United States,3.60E+15,147,55,3,35,1,1,1,1,1,1200000,1,17,5,1,Budd Muller,20,2,2,2500,#NULL!,2,2,1,2,8,75,3,1,1,1,1,Stunting,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,80 meter,2,,1,1,1,1,1,1,Stunting
Loretta Porter,80 Arkansas Park,California,United States,3.60E+15,154,76,3,34,3,1,1,1,1,1000000,1,21,1,3,Loretta Porter,22,2,1,3300,52,1,2,1,2,9,76,2,1,1,1,1,PencegahanStunting,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,100 meter,1,Suntik 3 ,2,1,1,1,2,1,Stunting
Clarette Hendricks,00775 Randy Junction,Kansas,United States,3.60E+15,149,71,3,26,1,1,1,1,1,1000000,1,18,1,3,Clarette Hendricks,6,1,1,3100,49,1,2,1,1,8.6,62,4,2,1,1,1,Program,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,400 meter,2,,1,1,1,1,1,2,Stunting
Ashlan Barthot,25361 Schurz Court,Texas,United States,3.60E+15,145,46,2,23,1,1,1,1,1,1200000,1,19,1,2,Ashlan Barthot,8,1,1,#NULL!,#NULL!,1,2,2,2,9,64,4,1,1,1,1,Program,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,500 meter,1,Suntik 3 ,1,1,1,1,2,1,Stunting
George Louys,3 Ronald Regan Road,Oklahoma,United States,,143,45,2,26,2,1,2,1,1,1000000,1,19,1,3,George Louys,9,2,1,2700,46,1,2,1,1,7.3,65,3,1,1,1,1,Program,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,500 meter,1,Implan,1,1,1,1,1,1,Stunting
Percy Ornells,7244 Ilene Point,New Mexico,United States,3.60E+15,151,74,3,39,1,1,#NULL!,1,1,800000,1,19,1,5,Percy Ornells,11,1,1,3200,50,1,2,1,2,8,75,2,1,1,1,1,Program,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,100 meter,2,,2,1,1,1,1,2,Tidak Stunting
Calla Whitlock,48 Erie Court,Connecticut,United States,3.60E+15,157,75,3,32,4,2,3,1,1,2000000,1,30,1,1,Calla Whitlock,12,1,1,3100,49,1,2,1,1,9,74,3,1,1,1,2,Program,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,250 meter,1,Suntik 3 ,2,1,1,1,2,1,Tidak Stunting
Tera Jime,0 Gerald Way,Massachusetts,United States,3.60E+15,153,82,3,28,1,1,1,1,1,800000,1,22,1,3,Tera Jime,12,2,1,3600,50,1,2,2,2,7,69,2,1,1,1,1,Program,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,500 meter,1,Implan 3 tahun,1,1,1,1,1,1,Tidak Stunting
Rebeka Breakey,6998 Mallory Pass,Ohio,United States,3.60E+15,147,59,3,30,1,1,1,1,1,300000,1,18,1,1,Rebeka Breakey,12,2,1,3100,#NULL!,2,2,2,2,8.5,70,3,1,1,1,1,Kurang makan,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,100 meter,1,Suntik 3 ,1,1,1,1,2,2,Tidak Stunting
Sharlene O'Noulane,821 Annamark Center,Georgia,United States,3.60E+15,144,53,2,33,1,1,1,1,1,200000,1,19,1,3,Sharlene O'Noulane,12,1,1,4200,59,1,2,2,2,9.9,75.4,3,1,1,1,1,Program,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,100 meter,2,,1,1,1,1,2,2,Tidak Stunting
Dody Pickup,36 Kingsford Trail,New Mexico,United States,3.60E+15,143,49,2,33,1,1,3,0,#NULL!,#NULL!,1,20,1,3,Dody Pickup,12,1,1,3000,45,1,2,2,1,8.7,77,2,1,1,1,1,Program,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,100 meter,2,,1,1,1,1,2,1,Tidak Stunting
Gabbey Eymor,461 Nevada Drive,Florida,United States,,150,55,2,34,2,1,2,1,1,1000000,1,20,1,3,Gabbey Eymor,13,1,1,3600,#NULL!,1,2,1,2,10.1,73,4,1,1,2,#NULL!,,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2000 meter,1,Pil KB,1,1,1,1,1,2,Tidak Stunting
Georgeta Lawlan,4514 Moulton Center,New York,United States,3.60E+15,152,52,2,27,1,1,1,1,1,300000,1,19,1,2,Georgeta Lawlan,14,2,1,3000,52,1,2,2,2,8.8,75.5,3,1,1,1,1,Program,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,100 meter,1,Suntik 1 ,1,1,1,1,1,1,Tidak Stunting
Bowie Feehely,81 Starling Crossing,Nevada,United States,3.60E+15,140,64,3,21,1,1,2,1,1,300000,1,18,2,2,Bowie Feehely,15,2,2,3000,#NULL!,1,2,1,2,9.5,75,3,2,1,1,1,Program,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,200 meter,1,Suntik 3 ,2,1,1,1,2,1,Tidak Stunting
Hilarius Emloch,519 Manitowish Terrace,Texas,United States,3.60E+12,159,46,2,22,2,1,2,1,1,1000000,1,20,1,1,Hilarius Emloch,18,2,1,3900,#NULL!,1,2,1,1,9,79,#NULL!,1,1,1,1,Program,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,300 meter,1,Suntik 3 ,1,1,5,1,2,1,Tidak Stunting
Rosemonde Eidler,338 Cambridge Point,Illinois,United States,3.60E+15,152,43,2,21,1,1,2,1,1,1500000,1,19,2,1,Rosemonde Eidler,18,1,2,#NULL!,#NULL!,2,1,1,2,10,79,3,2,1,1,1,Program,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,80 meter,1,Suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Clive Wims,8369 Bultman Hill,Tennessee,United States,3.60E+15,159,61,2,29,1,1,1,1,1,500000,1,21,1,2,Clive Wims,19,2,1,2900,46,2,2,1,1,10,80,3,1,1,1,1,Program,1,2,2,2,1,2,2,1,2,2,2,1,1,2,2,1,2,1,1,1,1,250 meter,1,Suntik 3 ,1,1,1,1,1,1,Tidak Stunting
Donalt Uebel,1027 Florence Junction,Nebraska,United States,3.60E+15,160,66,3,21,3,1,3,1,1,1000000,1,19,1,1,Donalt Uebel,19,1,1,3000,47,1,1,1,1,10,84,3,1,1,1,1,Program,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,100 meter,1,Implan,1,1,1,1,2,1,Tidak Stunting
Othilie Lante,67569 Maple Wood Lane,Wisconsin,United States,3.60E+15,153,56,2,24,3,1,3,1,2,3000000,1,22,1,1,Othilie Lante,2,2,1,3300,48,2,2,2,2,5,55,3,1,1,1,2,Program,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,200 meter,1,IUD,2,1,1,1,2,1,Tidak Stunting
Irita Dowson,5 Buell Junction,New York,United States,3.60E+15,145,54,3,34,4,2,4,1,1,2000000,1,24,1,3,Irita Dowson,2,2,1,3000,46,1,2,1,1,5.7,58,3,1,1,1,2,Program,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,300 meter,1,Implan,1,1,3,1,1,1,Tidak Stunting
Othelia Daly,9568 Welch Junction,Arkansas,United States,3.60E+15,160,47,1,38,1,1,1,1,1,2000000,1,18,1,5,Othelia Daly,2,2,1,3300,48,2,2,2,2,5,55,3,1,1,1,2,Program,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,200 meter,1,IUD,2,1,1,1,2,1,Stunting
Zsazsa Kindread,8 Sundown Trail,Texas,United States,3.60E+15,143,43,2,21,1,1,1,1,1,2000000,1,19,1,1,Zsazsa Kindread,2,2,1,3300,48,1,2,2,2,4.5,55,3,2,2,2,#NULL!,,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,500 meter,1,Suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Ermengarde Elsey,99380 Homewood Junction,Georgia,United States,3.60E+15,152,50,2,37,1,1,1,1,1,400000,1,19,1,4,Ermengarde Elsey,20,1,2,#NULL!,#NULL!,1,1,2,2,10.2,82,3,1,1,1,1,Program,1,1,2,1,1,2,2,1,1,1,1,2,1,1,1,2,1,2,2,1,1,500 meter,2,,1,1,1,2,2,2,Tidak Stunting
Dareen Town,620 Gateway Center,Idaho,United States,3.60E+15,155,51,2,35,3,1,3,1,1,1000000,1,23,1,3,Dareen Town,21,1,1,3600,36,1,#NULL!,2,1,10.9,81.3,#NULL!,1,1,1,1,Program,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,200 meter,1,Suntik 3 ,1,2,1,1,1,1,Tidak Stunting
Codie Rief,5 Ridge Oak Way,Washington,United States,3.60E+15,133,43,1,35,1,1,1,1,1,1500000,1,26,1,2,Codie Rief,22,1,1,2500,46,1,1,1,1,10,80.2,3,2,2,1,1,Program,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,50 meter,1,Suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Sigismondo Meeus,160 Manley Hill,Minnesota,United States,3.60E+15,145,53,3,25,1,1,1,1,2,3200000,1,16,1,2,Sigismondo Meeus,22,2,1,3400,48,1,2,2,2,9.5,79.4,3,2,1,1,1,Program,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,200 meter,1,Suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Pavlov Muffin,7873 Maryland Lane,Alabama,United States,3.60E+15,152,69,3,34,1,1,1,1,2,4000000,1,19,1,4,Pavlov Muffin,22,1,1,3500,#NULL!,2,2,2,2,11.1,81,3,1,1,1,1,Program,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,200 meter,1,Pil KB,2,1,1,1,2,2,Tidak Stunting
Burg Somers,31232 Shopko Alley,California,United States,3.60E+15,142,45,2,27,1,1,#NULL!,#NULL!,1,1000000,#NULL!,17,1,1,Burg Somers,23,1,1,3500,48,1,2,2,1,11,82.3,3,2,2,1,1,Program,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,200 meter,2,,2,1,1,1,1,2,Tidak Stunting
Harlan Daye,8 American Alley,Oklahoma,United States,3.60E+15,153,56,2,32,1,2,1,1,1,900000,2,20,1,2,Harlan Daye,24,2,1,3000,49,1,2,1,1,12,83,4,1,1,1,2,Program,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,100 meter,1,Suntik 3 ,1,1,1,1,2,2,Tidak Stunting
Burnaby Vain,36509 Stoughton Parkway,Alabama,United States,3.60E+15,155,55,2,25,1,2,1,1,1,700000,1,22,1,1,Burnaby Vain,24,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,9.2,81.9,2,1,1,1,1,Program,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 meter,1,Suntik 3 ,1,1,1,1,2,2,Tidak Stunting
Chandler Emig,9 Oxford Circle,North Carolina,United States,3.60E+15,151,54,2,21,2,1,2,1,2,2900000,1,20,1,1,Chandler Emig,3,2,1,3100,57,1,2,1,1,6,56,3,1,1,2,#NULL!,,1,2,2,2,1,1,1,1,2,2,2,1,1,2,2,1,2,1,1,1,1,100 meter,1,Suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Ruthann Goeff,1 Sunnyside Terrace,Texas,United States,3.60E+15,145,62,3,32,1,1,2,1,1,2000000,1,20,1,4,Ruthann Goeff,3,1,1,3000,45,1,2,2,1,6.5,65,2,1,1,2,#NULL!,,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,500 meter,1,Suntik 3 ,2,1,1,1,1,1,Tidak Stunting
Blinnie Feifer,57280 Nova Terrace,Indiana,United States,3.60E+15,145,62.5,3,32,1,1,2,1,1,2500000,1,20,1,4,Blinnie Feifer,3,1,1,3000,45,1,2,2,1,6.5,65,2,1,1,2,#NULL!,,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,700 meter,1,Suntik 3 ,2,1,1,1,1,1,Tidak Stunting
Gunther Bourdice,7790 Dorton Terrace,Alabama,United States,,145,60,3,40,1,1,1,1,1,1000000,1,28,1,2,Gunther Bourdice,3,1,1,3700,49,1,2,1,2,7,65,3,1,1,2,#NULL!,,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,100 meter,1,Suntik 3 ,2,1,1,1,2,1,Tidak Stunting
Sandye Dufaur,7 Maryland Trail,Pennsylvania,United States,3.60E+15,150,40,1,24,1,1,1,1,1,1000000,1,20,1,2,Sandye Dufaur,3,1,1,2800,49,1,2,1,2,6,58,3,1,2,1,2,Program,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,500 meter,1,Suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Gertrud Hardan,75393 Marquette Plaza,West Virginia,United States,3.60E+15,151,51,2,30,1,1,1,1,1,1000000,1,20,1,3,Gertrud Hardan,5,2,1,3000,49,1,2,1,1,6,65,2,2,2,1,2,Program,1,2,2,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,100 meter,1,Suntik 3 ,1,1,1,1,2,2,Tidak Stunting
Frannie Jovicic,9 Mallard Avenue,West Virginia,United States,3.60E+15,152,44,2,32,2,1,3,1,1,400000,1,19,1,4,Frannie Jovicic,5,1,1,3000,45,1,2,1,2,7,65,3,2,2,1,2,Program,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,300 meter,1,Suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Nola McWhannel,2 Steensland Point,Massachusetts,United States,3.60E+15,147,54,2,38,1,1,1,1,1,800000,1,17,1,5,Nola McWhannel,7,2,1,3200,49,2,1,1,2,6,68,2,2,1,1,1,Program,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,50 meter,1,Suntik 3 ,1,1,1,1,2,2,Tidak Stunting
Delphinia Horley,13802 Ryan Park,North Carolina,United States,1.81E+15,138,60,3,19,1,1,1,1,1,500000,1,18,1,1,Delphinia Horley,7,2,1,3000,45,1,2,1,1,6,65.3,4,2,1,1,1,Program,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1000 meter,1,Suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Jayne Sherbrook,01938 Ridgeview Court,Ohio,United States,3.60E+15,150,59,3,25,4,2,3,1,1,2000000,1,24,1,1,Jayne Sherbrook,8,1,1,3600,51,1,2,1,1,8,72,2,1,1,2,#NULL!,,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,100 meter,1,Suntik 3 ,2,1,1,1,1,1,Tidak Stunting
Luisa Rallin,62063 Bowman Court,California,United States,,155,90,3,30,1,1,2,1,1,1000000,1,20,1,2,Luisa Rallin,8,1,1,2500,49,1,2,1,2,9.5,69.7,3,1,1,1,2,Program,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,300 meter,1,Suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Lena Bickardike,666 Marcy Trail,Texas,United States,3.60E+15,#NULL!,#NULL!,#NULL!,21,3,2,3,#NULL!,#NULL!,#NULL!,1,20,1,1,Lena Bickardike,8,2,1,3300,59,1,2,1,2,7.2,65,3,1,1,1,1,Program,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,100 meter,1,Suntik 3 ,1,1,1,1,2,2,Tidak Stunting
Babita Bleeze,651 International Crossing,Tennessee,United States,3.60E+15,142,43,2,36,1,1,1,1,1,800000,1,17,1,5,Babita Bleeze,8,1,1,2000,#NULL!,1,2,2,2,7.1,68,2,1,1,1,2,Program,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,500 meter,1,Suntik 3 ,1,1,1,1,1,2,Tidak Stunting
Sandie Scheffel,5651 Clarendon Road,North Carolina,United States,3.60E+15,155,46,1,22,2,1,2,1,1,1000000,1,21,1,1,Sandie Scheffel,8,1,1,3300,52,2,2,1,2,7.3,68.5,3,1,1,1,2,Program,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,100 meter,1,Suntik 3 ,1,1,1,1,1,2,Tidak Stunting
Reinwald Marshall,43 Grim Lane,Florida,United States,3.60E+15,150,48,2,28,1,1,3,1,1,1000000,1,22,1,2,Reinwald Marshall,8,2,1,3200,59,1,2,1,1,7.5,69.2,3,2,1,1,2,Program,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,300 meter,1,Suntik 3 ,1,1,1,1,2,1,Tidak Stunting
Casie Ofen,23373 Walton Circle,Louisiana,United States,3.60E+15,145,44,2,30,1,1,2,1,1,600000,1,20,1,5,Casie Ofen,9,1,1,2900,49,1,2,2,2,6,70,2,1,1,1,1,Program,1,2,2,2,1,2,2,1,2,2,1,1,1,2,2,1,1,2,2,1,1,300 meter,2,,1,1,1,1,2,1,Tidak Stunting
Rosette Monck,90 Park Meadow Point,Pennsylvania,United States,3.17E+15,150,55,2,23,3,1,3,1,2,4500000,1,21,1,1,Rosette Monck,9,1,1,3400,49,1,2,2,1,8.1,74,2,2,2,1,1,Karena imunisasi,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,200 meter,2,,1,1,1,1,2,2,Tidak Stunting
Kory Vest,10 Milwaukee Plaza,Pennsylvania,United States,3.60E+15,151,60,4,22,1,1,#NULL!,#NULL!,#NULL!,#NULL!,1,17,1,2,Kory Vest,9,2,1,3800,50,1,2,2,2,8.3,71.1,3,1,1,1,1,Program,1,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,2,1,1,1,1,100,1,Suntik 3 ,1,1,1,1,2,2,Tidak Stunting
Lebbie Titcombe,0 Badeau Crossing,Arizona,United States,3.60E+16,148,58,3,21,1,1,1,1,2,3000000,1,19,1,1,Lebbie Titcombe,10,1,1,3100,46,2,2,1,1,8.5,79,1,1,1,2,#NULL!,,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,100 meter,1,Suntik 3 ,1,1,1,1,2,2,Tidak Stunting
Elianora Mitro,634 Maryland Alley,New York,United States,3.60E+15,164,63,2,26,2,1,2,1,1,2000000,1,21,1,2,Elianora Mitro,23,1,1,3500,49,1,2,1,1,10,80,2,1,1,1,1,Karena semua dapat,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1 km,1,Suntik per 3 ,1,1,1,1,1,1,Stunting
